HGNC ID	Approved Symbol	UniProt ID(supplied by UniProt)
HGNC:90	ACADS	P16219
HGNC:91	ACADSB	P45954
HGNC:92	ACADVL	P49748
HGNC:319	ACAN	P16112
HGNC:16467	ACAP1	Q15027
HGNC:16469	ACAP2	Q15057
HGNC:41426	ACAP2-IT1	
HGNC:16754	ACAP3	Q96P50
HGNC:93	ACAT1	P24752
HGNC:94	ACAT2	Q9BWD1
HGNC:15453	ACBD3	Q9H3P7
HGNC:23337	ACBD4	Q8NC06
HGNC:23338	ACBD5	Q5T8D3
HGNC:23339	ACBD6	Q9BR61
HGNC:17715	ACBD7	Q8N6N7
HGNC:23989	ACCS	Q96QU6
HGNC:34391	ACCSL	Q4AC99
HGNC:25070	ACD	Q96AP0
HGNC:2707	ACE	P12821
HGNC:13557	ACE2	Q9BYF1
HGNC:44365	ACE3P	
HGNC:18356	ACER1	Q8TDN7
HGNC:23675	ACER2	Q5QJU3
HGNC:16066	ACER3	Q9NUN7
HGNC:108	ACHE	P22303
HGNC:17066	ACIN1	Q9UKV3
HGNC:4035	ACKR1	Q16570
HGNC:1565	ACKR2	O00590
HGNC:23692	ACKR3	P25106
HGNC:1611	ACKR4	Q9NPB9
HGNC:114	ACLS	
HGNC:115	ACLY	P53396
HGNC:19288	ACMSD	Q8TDX5
HGNC:117	ACO1	P21399
HGNC:118	ACO2	Q99798
HGNC:33128	ACOT1	Q86TX2
HGNC:18431	ACOT2	P49753
HGNC:19748	ACOT4	Q8N9L9
HGNC:33159	ACOT6	Q3I5F7
HGNC:24157	ACOT7	O00154
HGNC:15919	ACOT8	O14734
HGNC:17152	ACOT9	Q9Y305
HGNC:18156	ACOT11	Q8WXI4
HGNC:24436	ACOT12	Q8WYK0
HGNC:20999	ACOT13	Q9NPJ3
HGNC:119	ACOX1	Q15067
HGNC:120	ACOX2	Q99424
HGNC:121	ACOX3	O15254
HGNC:25621	ACOXL	Q9NUZ1
HGNC:122	ACP1	P24666
HGNC:123	ACP2	P11117
HGNC:124	ACP5	P13686
HGNC:29609	ACP6	Q9NPH0
HGNC:33781	ACP7	
HGNC:125	ACPP	P15309
HGNC:14376	ACPT	Q9BZG2
HGNC:126	ACR	P10323
HGNC:17195	ACRBP	Q8NEB7
HGNC:15805	ACRC	Q96QF7
HGNC:127	ACRV1	P26436
HGNC:29567	ACSBG1	Q96GR2
HGNC:24174	ACSBG2	Q5FVE4
HGNC:26101	ACSF2	Q96CM8
HGNC:27288	ACSF3	Q4G176
HGNC:3569	ACSL1	P33121
HGNC:3570	ACSL3	O95573
HGNC:3571	ACSL4	O60488
HGNC:16526	ACSL5	Q9ULC5
HGNC:16496	ACSL6	Q9UKU0
HGNC:18049	ACSM1	Q08AH1
HGNC:32017	ACSM2A	Q08AH3
HGNC:30931	ACSM2B	Q68CK6
HGNC:10522	ACSM3	Q53FZ2
HGNC:32016	ACSM4	P0C7M7
HGNC:26060	ACSM5	Q6NUN0
HGNC:51295	ACSM5P1	
HGNC:31665	ACSM6	Q6P461
HGNC:16091	ACSS1	Q9NUB1
HGNC:15814	ACSS2	Q9NR19
HGNC:24723	ACSS3	Q9H6R3
HGNC:129	ACTA1	P68133
HGNC:130	ACTA2	P62736
HGNC:45169	ACTA2-AS1	
HGNC:132	ACTB	P60709
HGNC:17780	ACTBL2	Q562R1
HGNC:134	ACTBP1	
HGNC:135	ACTBP2	
HGNC:136	ACTBP3	
HGNC:137	ACTBP4	
HGNC:139	ACTBP6	
HGNC:140	ACTBP7	
HGNC:141	ACTBP8	
HGNC:142	ACTBP9	
HGNC:31819	ACTBP10	
HGNC:33971	ACTBP11	
HGNC:150	ACTBP12	
HGNC:44626	ACTBP13	
HGNC:45086	ACTBP14	
HGNC:143	ACTC1	P68032
HGNC:144	ACTG1	P63261
HGNC:146	ACTG1P1	
HGNC:147	ACTG1P2	
HGNC:148	ACTG1P3	
HGNC:149	ACTG1P4	
HGNC:151	ACTG1P6	
HGNC:152	ACTG1P7	
HGNC:153	ACTG1P8	
HGNC:154	ACTG1P9	
HGNC:155	ACTG1P10	
HGNC:37651	ACTG1P11	
HGNC:44496	ACTG1P12	
HGNC:49058	ACTG1P13	
HGNC:49751	ACTG1P14	
HGNC:51495	ACTG1P15	
HGNC:51496	ACTG1P16	
HGNC:51497	ACTG1P17	
HGNC:51498	ACTG1P18	
HGNC:51499	ACTG1P19	
HGNC:51500	ACTG1P20	
HGNC:51501	ACTG1P21	
HGNC:51502	ACTG1P22	
HGNC:51503	ACTG1P23	
HGNC:49661	ACTG1P24	
HGNC:145	ACTG2	P63267
HGNC:24124	ACTL6A	O96019
HGNC:160	ACTL6B	O94805
HGNC:161	ACTL7A	Q9Y615
HGNC:162	ACTL7B	Q9Y614
HGNC:24018	ACTL8	Q9H568
HGNC:28494	ACTL9	Q8TC94
HGNC:16127	ACTL10	Q5JWF8
HGNC:163	ACTN1	P12814
HGNC:20131	ACTN1-AS1	
HGNC:164	ACTN2	P35609
HGNC:165	ACTN3	Q08043
HGNC:166	ACTN4	O43707
HGNC:44028	ACTN4P1	
HGNC:44032	ACTN4P2	
HGNC:51621	ACTP1	
HGNC:167	ACTR1A	P61163
HGNC:168	ACTR1B	P42025
HGNC:169	ACTR2	P61160
HGNC:170	ACTR3	P61158
HGNC:17256	ACTR3B	Q9P1U1
HGNC:37724	ACTR3BP1	
HGNC:38677	ACTR3BP2	
HGNC:38678	ACTR3BP3	
HGNC:38681	ACTR3BP4	
HGNC:38682	ACTR3BP5	
HGNC:38683	ACTR3BP6	
HGNC:37282	ACTR3C	Q9C0K3
HGNC:31820	ACTR3P1	
HGNC:38676	ACTR3P2	
HGNC:38679	ACTR3P3	
HGNC:14671	ACTR5	Q9H9F9
HGNC:24025	ACTR6	Q9GZN1
HGNC:44210	ACTR6P1	
HGNC:14672	ACTR8	Q9H981
HGNC:17372	ACTR10	Q9NZ32
HGNC:24027	ACTRT1	Q8TDG2
HGNC:24026	ACTRT2	Q8TDY3
HGNC:24022	ACTRT3	Q9BYD9
HGNC:171	ACVR1	Q04771
HGNC:172	ACVR1B	P36896
HGNC:18123	ACVR1C	Q8NER5
HGNC:173	ACVR2A	P27037
HGNC:174	ACVR2B	Q13705
HGNC:44161	ACVR2B-AS1	
HGNC:175	ACVRL1	P37023
HGNC:177	ACY1	Q03154
HGNC:24104	ACY3	Q96HD9
HGNC:179	ACYP1	P07311
HGNC:180	ACYP2	P14621
HGNC:185	AD5	
HGNC:186	ADA	P00813
HGNC:30713	ADAD1	Q96M93
HGNC:44550	ADAD1P1	
HGNC:44552	ADAD1P2	
HGNC:30714	ADAD2	Q8NCV1
HGNC:31853	ADAL	Q6DHV7
HGNC:187	ADAM1A	
HGNC:44366	ADAM1B	
HGNC:198	ADAM2	Q99965
HGNC:209	ADAM3A	
HGNC:210	ADAM3B	
HGNC:212	ADAM5	Q6NVV9
HGNC:213	ADAM6	
HGNC:214	ADAM7	Q9H2U9
HGNC:215	ADAM8	P78325
HGNC:216	ADAM9	Q13443
HGNC:188	ADAM10	O14672
HGNC:189	ADAM11	O75078
HGNC:190	ADAM12	O43184
HGNC:193	ADAM15	Q13444
HGNC:195	ADAM17	P78536
HGNC:196	ADAM18	Q9Y3Q7
HGNC:197	ADAM19	Q9H013
HGNC:199	ADAM20	O43506
HGNC:20102	ADAM20P1	
HGNC:43901	ADAM20P2	
HGNC:43902	ADAM20P3	
HGNC:200	ADAM21	Q9UKJ8
HGNC:19822	ADAM21P1	
HGNC:201	ADAM22	Q9P0K1
HGNC:202	ADAM23	O75077
HGNC:203	ADAM24P	
HGNC:206	ADAM28	Q9UKQ2
HGNC:207	ADAM29	Q9UKF5
HGNC:208	ADAM30	Q9UKF2
HGNC:15479	ADAM32	Q8TC27
HGNC:15478	ADAM33	Q9BZ11
HGNC:16299	ADAMDEC1	O15204
HGNC:217	ADAMTS1	Q9UHI8
HGNC:218	ADAMTS2	O95450
HGNC:219	ADAMTS3	O15072
HGNC:220	ADAMTS4	O75173
HGNC:221	ADAMTS5	Q9UNA0
HGNC:222	ADAMTS6	Q9UKP5
HGNC:223	ADAMTS7	Q9UKP4
HGNC:49407	ADAMTS7P1	
HGNC:49409	ADAMTS7P3	
HGNC:49410	ADAMTS7P4	
HGNC:224	ADAMTS8	Q9UP79
HGNC:13202	ADAMTS9	Q9P2N4
HGNC:40625	ADAMTS9-AS1	
