HGNC ID	Approved Symbol	UniProt ID(supplied by UniProt)
HGNC:13176	IKZF1	Q13422
HGNC:13177	IKZF2	Q9UKS7
HGNC:13178	IKZF3	Q9UKT9
HGNC:13179	IKZF4	Q9H2S9
HGNC:14283	IKZF5	Q9H5V7
HGNC:5991	IL1A	P01583
HGNC:5992	IL1B	P01584
HGNC:15552	IL1F10	Q8WWZ1
HGNC:5993	IL1R1	P14778
HGNC:5994	IL1R2	P27930
HGNC:5995	IL1RAP	Q9NPH3
HGNC:5996	IL1RAPL1	Q9NZN1
HGNC:5997	IL1RAPL2	Q9NP60
HGNC:5998	IL1RL1	Q01638
HGNC:5999	IL1RL2	Q9HB29
HGNC:6000	IL1RN	P18510
HGNC:6001	IL2	P60568
HGNC:6008	IL2RA	P01589
HGNC:6009	IL2RB	P14784
HGNC:6010	IL2RG	P31785
HGNC:6011	IL3	P08700
HGNC:6012	IL3RA	P26951
HGNC:6014	IL4	P05112
HGNC:19094	IL4I1	Q96RQ9
HGNC:6015	IL4R	P24394
HGNC:6016	IL5	P05113
HGNC:6017	IL5RA	Q01344
HGNC:6018	IL6	P05231
HGNC:6019	IL6R	P08887
HGNC:6020	IL6RP1	
HGNC:6021	IL6ST	P40189
HGNC:6022	IL6STP1	
HGNC:6023	IL7	P13232
HGNC:6024	IL7R	P16871
HGNC:6029	IL9	P15248
HGNC:6030	IL9R	Q01113
HGNC:6031	IL9RP1	
HGNC:6032	IL9RP2	
HGNC:6033	IL9RP3	
HGNC:6034	IL9RP4	
HGNC:5962	IL10	P22301
HGNC:5964	IL10RA	Q13651
HGNC:5965	IL10RB	Q08334
HGNC:44303	IL10RB-AS1	
HGNC:5966	IL11	P20809
HGNC:5967	IL11RA	Q14626
HGNC:5969	IL12A	P29459
HGNC:49094	IL12A-AS1	
HGNC:5970	IL12B	P29460
HGNC:5971	IL12RB1	P42701
HGNC:5972	IL12RB2	Q99665
HGNC:5973	IL13	P35225
HGNC:5974	IL13RA1	P78552
HGNC:5975	IL13RA2	Q14627
HGNC:5977	IL15	P40933
HGNC:5978	IL15RA	Q13261
HGNC:5980	IL16	Q14005
HGNC:5981	IL17A	Q16552
HGNC:5982	IL17B	Q9UHF5
HGNC:5983	IL17C	Q9P0M4
HGNC:5984	IL17D	Q8TAD2
HGNC:16404	IL17F	Q96PD4
HGNC:5985	IL17RA	Q96F46
HGNC:18015	IL17RB	Q9NRM6
HGNC:18358	IL17RC	Q8NAC3
HGNC:17616	IL17RD	Q8NFM7
HGNC:18439	IL17RE	Q8NFR9
HGNC:33808	IL17REL	Q6ZVW7
HGNC:5986	IL18	Q14116
HGNC:5987	IL18BP	O95998
HGNC:5988	IL18R1	Q13478
HGNC:5989	IL18RAP	O95256
HGNC:5990	IL19	Q9UHD0
HGNC:6002	IL20	Q9NYY1
HGNC:6003	IL20RA	Q9UHF4
HGNC:6004	IL20RB	Q6UXL0
HGNC:40298	IL20RB-AS1	
HGNC:6005	IL21	Q9HBE4
HGNC:40299	IL21-AS1	
HGNC:6006	IL21R	Q9HBE5
HGNC:27551	IL21R-AS1	
HGNC:14900	IL22	Q9GZX6
HGNC:13700	IL22RA1	Q8N6P7
HGNC:14901	IL22RA2	Q969J5
HGNC:15488	IL23A	Q9NPF7
HGNC:19100	IL23R	Q5VWK5
HGNC:11346	IL24	Q13007
HGNC:13765	IL25	Q9H293
HGNC:17119	IL26	Q9NPH9
HGNC:19157	IL27	Q8NEV9
HGNC:17290	IL27RA	Q6UWB1
HGNC:19372	IL31	Q6EBC2
HGNC:18969	IL31RA	Q8NI17
HGNC:16830	IL32	P24001
HGNC:16028	IL33	O95760
HGNC:28529	IL34	Q6ZMJ4
HGNC:15562	IL36A	Q9UHA7
HGNC:15564	IL36B	Q9NZH7
HGNC:15741	IL36G	Q9NZH8
HGNC:15561	IL36RN	Q9UBH0
HGNC:15563	IL37	Q9NZH6
HGNC:28741	ILDR1	Q86SU0
HGNC:18131	ILDR2	Q71H61
HGNC:6037	ILF2	Q12905
HGNC:44695	ILF2P1	
HGNC:44696	ILF2P2	
HGNC:6038	ILF3	Q12906
HGNC:27115	ILF3-AS1	
HGNC:6040	ILK	Q13418
HGNC:15566	ILKAP	Q9H0C8
HGNC:6041	ILVBL	A1L0T0
HGNC:26317	IMMP1L	Q96LU5
HGNC:51131	IMMP1LP1	
HGNC:51132	IMMP1LP2	
HGNC:51134	IMMP1LP3	
HGNC:14598	IMMP2L	Q96T52
HGNC:6047	IMMT	Q16891
HGNC:6048	IMMTP1	
HGNC:14497	IMP3	Q9NV31
HGNC:49385	IMP3P1	
HGNC:49386	IMP3P2	
HGNC:30856	IMP4	Q96G21
HGNC:6050	IMPA1	P29218
HGNC:33956	IMPA1P	
HGNC:6051	IMPA2	O14732
HGNC:20387	IMPACT	Q9P2X3
HGNC:26019	IMPAD1	Q9NX62
HGNC:6052	IMPDH1	P20839
HGNC:19912	IMPDH1P1	
HGNC:33957	IMPDH1P2	
HGNC:33958	IMPDH1P3	
HGNC:33959	IMPDH1P4	
HGNC:33960	IMPDH1P5	
HGNC:33961	IMPDH1P6	
HGNC:33962	IMPDH1P7	
HGNC:33963	IMPDH1P8	
HGNC:33964	IMPDH1P9	
HGNC:33965	IMPDH1P10	
HGNC:6054	IMPDH1P11	
HGNC:6053	IMPDH2	P12268
HGNC:6055	IMPG1	Q17R60
HGNC:18362	IMPG2	Q9BZV3
HGNC:6057	INA	Q16352
HGNC:28881	INADL	Q8NI35
HGNC:27406	INAFM1	C9JVW0
HGNC:35165	INAFM2	P0DMQ5
HGNC:32224	INCA1	Q0VD86
HGNC:6058	INCENP	Q9NQS7
HGNC:6060	INE1	O15225
HGNC:6061	INE2	
HGNC:23791	INF2	Q27J81
HGNC:6062	ING1	Q9UK53
HGNC:6063	ING2	Q9H160
HGNC:14587	ING3	Q9NXR8
HGNC:19423	ING4	Q9UNL4
HGNC:19421	ING5	Q8WYH8
HGNC:6064	INGX	
HGNC:6065	INHA	P05111
HGNC:6066	INHBA	P08476
HGNC:40303	INHBA-AS1	
HGNC:6067	INHBB	P09529
HGNC:6068	INHBC	P55103
HGNC:24029	INHBE	P58166
HGNC:24994	INIP	Q9NRY2
HGNC:6069	INMT	O95050
HGNC:41995	INMT-FAM188B	
HGNC:26956	INO80	Q9ULG1
HGNC:13324	INO80B	Q9C086
HGNC:49199	INO80B-WBP1	
HGNC:26994	INO80C	Q6PI98
HGNC:25997	INO80D	Q53TQ3
HGNC:26905	INO80E	Q8NBZ0
HGNC:6071	INPP1	P49441
HGNC:6074	INPP4A	Q96PE3
HGNC:6075	INPP4B	O15327
HGNC:6076	INPP5A	Q14642
HGNC:6077	INPP5B	P32019
HGNC:6079	INPP5D	Q92835
HGNC:21474	INPP5E	Q9NRR6
HGNC:17054	INPP5F	Q9Y2H2
HGNC:8956	INPP5J	Q15735
HGNC:33882	INPP5K	Q9BT40
HGNC:6080	INPPL1	O15357
HGNC:6081	INS	P01308
HGNC:33527	INS-IGF2	F8WCM5
HGNC:33116	INSC	Q1MX18
HGNC:6083	INSIG1	O15503
HGNC:20452	INSIG2	Q9Y5U4
HGNC:6086	INSL3	P51460
HGNC:6087	INSL4	Q14641
HGNC:6088	INSL5	Q9Y5Q6
HGNC:6089	INSL6	Q9Y581
HGNC:6090	INSM1	Q01101
HGNC:17539	INSM2	Q96T92
HGNC:6091	INSR	P06213
HGNC:6093	INSRR	P14616
HGNC:24555	INTS1	Q8N201
HGNC:29241	INTS2	Q9H0H0
HGNC:26153	INTS3	Q68E01
HGNC:25048	INTS4	Q96HW7
HGNC:21925	INTS4P1	
HGNC:22351	INTS4P2	
HGNC:29352	INTS5	Q6P9B9
HGNC:14879	INTS6	Q9UL03
HGNC:42691	INTS6-AS1	
HGNC:27334	INTS6L	Q5JSJ4
HGNC:41180	INTS6L-AS1	
HGNC:43921	INTS6P1	
HGNC:24484	INTS7	Q9NVH2
HGNC:26048	INTS8	Q75QN2
HGNC:25592	INTS9	Q9NV88
HGNC:25548	INTS10	Q9NVR2
HGNC:25067	INTS12	Q96CB8
HGNC:29239	INTU	Q9ULD6
HGNC:17870	INVS	Q9Y283
HGNC:18360	IP6K1	Q92551
HGNC:17313	IP6K2	Q9UHH9
HGNC:17269	IP6K3	Q96PC2
HGNC:21204	IPCEF1	Q8WWN9
HGNC:20739	IPMK	Q8NFU5
HGNC:39354	IPMKP1	
HGNC:19426	IPO4	Q8TEX9
HGNC:6402	IPO5	O00410
HGNC:49687	IPO5P1	
HGNC:9852	IPO7	O95373
HGNC:39837	IPO7P1	
HGNC:39838	IPO7P2	
HGNC:9853	IPO8	O15397
HGNC:41955	IPO8P1	
HGNC:19425	IPO9	Q96P70
HGNC:40892	IPO9-AS1	
HGNC:20628	IPO11	Q9UI26
HGNC:16853	IPO13	O94829
HGNC:6108	IPP	Q9Y573
HGNC:14645	IPPK	Q9H8X2
HGNC:39390	IPPKP1	
HGNC:6109	IPW	
HGNC:26195	IQCA1	Q86XH1
HGNC:41137	IQCA1-AS1	
HGNC:22831	IQCA1L	A6NCM1
HGNC:28949	IQCB1	Q15051
HGNC:17727	IQCB2P	
HGNC:25545	IQCC	Q4KMZ1
HGNC:25168	IQCD	Q96DY2
HGNC:29171	IQCE	Q6IPM2
HGNC:28607	IQCF1	Q8N6M8
HGNC:31815	IQCF2	Q8IXL9
HGNC:31816	IQCF3	P0C7M6
HGNC:35159	IQCF5	A8MTL0
HGNC:41297	IQCF5-AS1	
HGNC:35158	IQCF6	A8MYZ5
HGNC:25251	IQCG	Q9H095
HGNC:25721	IQCH	Q86VS3
HGNC:44104	IQCH-AS1	
HGNC:32406	IQCJ	Q1A5X6
HGNC:38842	IQCJ-SCHIP1	
HGNC:41303	IQCJ-SCHIP1-AS1	
HGNC:28556	IQCK	Q8N0W5
HGNC:6110	IQGAP1	P46940
HGNC:6111	IQGAP2	Q13576
HGNC:20669	IQGAP3	Q86VI3
HGNC:29112	IQSEC1	Q6DN90
HGNC:29059	IQSEC2	Q5JU85
HGNC:29193	IQSEC3	Q9UPP2
HGNC:49848	IQSEC3P1	
HGNC:49849	IQSEC3P2	
HGNC:49850	IQSEC3P3	
HGNC:21995	IQUB	Q8NA54
HGNC:50365	IRAIN	
HGNC:6112	IRAK1	P51617
HGNC:17368	IRAK1BP1	Q5VVH5
HGNC:6113	IRAK2	O43187
HGNC:17020	IRAK3	Q9Y616
HGNC:17967	IRAK4	Q9NWZ3
HGNC:6115	IREB2	P48200
HGNC:6116	IRF1	P10914
HGNC:6117	IRF2	P14316
HGNC:21728	IRF2BP1	Q8IU81
HGNC:21729	IRF2BP2	Q7Z5L9
HGNC:14282	IRF2BPL	Q9H1B7
HGNC:6118	IRF3	Q14653
HGNC:6119	IRF4	Q15306
HGNC:6120	IRF5	Q13568
HGNC:41981	IRF5P1	
HGNC:6121	IRF6	O14896
HGNC:6122	IRF7	Q92985
HGNC:5358	IRF8	Q02556
HGNC:6131	IRF9	Q00978
HGNC:33904	IRG1	A6NK06
HGNC:28835	IRGC	Q6NXR0
HGNC:29597	IRGM	A1A4Y4
HGNC:24868	IRGQ	Q8WZA9
HGNC:6125	IRS1	P35568
HGNC:6126	IRS2	Q9Y4H2
HGNC:6127	IRS3P	
HGNC:6128	IRS4	O14654
HGNC:14358	IRX1	P78414
HGNC:33315	IRX1P1	
HGNC:14359	IRX2	Q9BZI1
HGNC:14360	IRX3	P78415
HGNC:6129	IRX4	P78413
HGNC:33316	IRX4P1	
HGNC:14361	IRX5	P78411
HGNC:14675	IRX6	P78412
HGNC:28660	ISCA1	Q9BUE6
HGNC:33263	ISCA1P1	
HGNC:38023	ISCA1P2	
HGNC:38024	ISCA1P3	
HGNC:38025	ISCA1P4	
HGNC:38026	ISCA1P5	
HGNC:38027	ISCA1P6	
HGNC:19857	ISCA2	Q86U28
HGNC:38022	ISCA2P1	
HGNC:29882	ISCU	Q9H1K1
HGNC:38021	ISCUP1	
HGNC:4053	ISG15	P05161
HGNC:6130	ISG20	Q96AZ6
HGNC:25745	ISG20L2	Q9H9L3
HGNC:6132	ISL1	P61371
HGNC:18524	ISL2	Q96A47
HGNC:6133	ISLR	O14498
HGNC:29286	ISLR2	Q6UXK2
HGNC:16213	ISM1	B1AKI9
HGNC:44313	ISM1-AS1	
HGNC:23176	ISM2	Q6H9L7
HGNC:24254	ISOC1	Q96CN7
HGNC:26278	ISOC2	Q96AB3
HGNC:37276	ISPD	A4D126
HGNC:48962	ISPD-AS1	
HGNC:28977	IST1	P53990
HGNC:28084	ISX	Q2M1V0
HGNC:41188	ISX-AS1	
HGNC:29201	ISY1	Q9ULR0
HGNC:42969	ISY1-RAB43	
HGNC:29821	ISYNA1	Q9NPH2
HGNC:13890	ITCH	Q96J02
HGNC:40659	ITCH-AS1	
HGNC:41397	ITCH-IT1	
HGNC:30697	ITFG1	Q8TB96
HGNC:51383	ITFG1-AS1	
HGNC:30879	ITFG2	Q969R8
HGNC:6134	ITGA1	P56199
HGNC:6137	ITGA2	P17301
HGNC:6138	ITGA2B	P08514
HGNC:6139	ITGA3	P26006
HGNC:6140	ITGA4	P13612
HGNC:6141	ITGA5	P08648
HGNC:6142	ITGA6	P23229
HGNC:6143	ITGA7	Q13683
HGNC:6144	ITGA8	P53708
HGNC:6145	ITGA9	Q13797
HGNC:49668	ITGA9-AS1	
HGNC:6135	ITGA10	O75578
HGNC:6136	ITGA11	Q9UKX5
HGNC:6146	ITGAD	Q13349
HGNC:6147	ITGAE	P38570
HGNC:6148	ITGAL	P20701
HGNC:6149	ITGAM	P11215
HGNC:6150	ITGAV	P06756
HGNC:6152	ITGAX	P20702
HGNC:6153	ITGB1	P05556
HGNC:23927	ITGB1BP1	O14713
HGNC:6154	ITGB1BP2	Q9UKP3
HGNC:3781	ITGB1P1	
HGNC:6155	ITGB2	P05107
HGNC:44304	ITGB2-AS1	
HGNC:6156	ITGB3	P05106
HGNC:6157	ITGB3BP	Q13352
HGNC:6158	ITGB4	P16144
HGNC:6160	ITGB5	P18084
HGNC:40309	ITGB5-AS1	
HGNC:6161	ITGB6	P18564
HGNC:6162	ITGB7	P26010
HGNC:6163	ITGB8	P26012
HGNC:6164	ITGBL1	O95965
HGNC:6166	ITIH1	P19827
HGNC:6167	ITIH2	P19823
HGNC:6168	ITIH3	Q06033
HGNC:6169	ITIH4	Q14624
HGNC:40310	ITIH4-AS1	
HGNC:21449	ITIH5	Q86UX2
HGNC:28907	ITIH6	Q6UXX5
HGNC:6171	ITK	Q08881
HGNC:18259	ITLN1	Q8WWA0
HGNC:20599	ITLN2	Q8WWU7
HGNC:6173	ITM2A	O43736
HGNC:6174	ITM2B	Q9Y287
HGNC:20919	ITM2BP1	
HGNC:6175	ITM2C	Q9NQX7
HGNC:6176	ITPA	Q9BY32
HGNC:6177	ITPK1	Q13572
HGNC:20132	ITPK1-AS1	
HGNC:6178	ITPKA	P23677
HGNC:6179	ITPKB	P27987
HGNC:40312	ITPKB-AS1	
HGNC:41349	ITPKB-IT1	
HGNC:14897	ITPKC	Q96DU7
HGNC:6180	ITPR1	Q14643
HGNC:44470	ITPR1-AS1	
HGNC:6181	ITPR2	Q14571
HGNC:6182	ITPR3	Q14573
HGNC:29370	ITPRIP	Q8IWB1
HGNC:29371	ITPRIPL1	Q6GPH6
HGNC:27257	ITPRIPL2	Q3MIP1
HGNC:6183	ITSN1	Q15811
HGNC:6184	ITSN2	Q9NZM3
HGNC:6185	IV	
HGNC:6186	IVD	P26440
HGNC:6187	IVL	P07476
HGNC:16951	IVNS1ABP	Q9Y6Y0
HGNC:25467	IWS1	Q96ST2
HGNC:21071	IYD	Q6PHW0
HGNC:28539	IZUMO1	Q8IYV9
HGNC:32565	IZUMO1R	A6ND01
HGNC:28518	IZUMO2	Q6UXV1
HGNC:31421	IZUMO3	Q5VZ72
HGNC:26950	IZUMO4	Q1ZYL8
HGNC:30027	JADE1	Q6IE81
HGNC:22984	JADE2	Q9NQC1
HGNC:22982	JADE3	Q92613
HGNC:48601	JADRR	
HGNC:6188	JAG1	P78504
HGNC:6189	JAG2	Q9Y219
HGNC:26926	JAGN1	Q8N5M9
HGNC:6190	JAK1	P23458
HGNC:6192	JAK2	O60674
HGNC:6193	JAK3	P52333
HGNC:26460	JAKMIP1	Q96N16
HGNC:29067	JAKMIP2	Q96AA8
HGNC:27203	JAKMIP2-AS1	
HGNC:23523	JAKMIP3	Q5VZ66
HGNC:14686	JAM2	P57087
HGNC:15532	JAM3	Q9BX67
HGNC:19084	JAML	Q86YT9
HGNC:6196	JARID2	Q92833
HGNC:40314	JARID2-AS1	
HGNC:28917	JAZF1	Q86VZ6
HGNC:41218	JAZF1-AS1	
HGNC:6194	JBS	
HGNC:5713	JCHAIN	P01591
HGNC:17546	JDP2	Q8WYK2
HGNC:48959	JHDM1D-AS1	
HGNC:20184	JKAMP	Q9P055
HGNC:49759	JKAMPP1	
HGNC:12313	JMJD1C	Q15652
HGNC:28222	JMJD1C-AS1	
HGNC:25724	JMJD4	Q9H9V9
HGNC:19355	JMJD6	Q6NYC1
HGNC:34397	JMJD7	P0C870
HGNC:34449	JMJD7-PLA2G4B	
HGNC:14148	JMJD8	Q96S16
HGNC:28916	JMY	Q8N9B5
HGNC:28953	JOSD1	Q15040
HGNC:28853	JOSD2	Q8TAC2
HGNC:6198	JPD	
HGNC:14201	JPH1	Q9HDC5
HGNC:14202	JPH2	Q9BR39
HGNC:14203	JPH3	Q8WXH2
HGNC:20156	JPH4	Q96JJ6
HGNC:37191	JPX	
HGNC:6199	JRK	O75564
HGNC:6200	JRKL	Q9Y4A0
HGNC:43670	JRKL-AS1	
HGNC:24963	JSRP1	Q96MG2
HGNC:6201	JTB	O76095
HGNC:39180	JTBP1	
HGNC:6204	JUN	P05412
HGNC:6205	JUNB	P17275
HGNC:6206	JUND	P17535
HGNC:6207	JUP	P14923
HGNC:21031	KAAG1	Q9UBP8
HGNC:4814	KALRN	O60229
HGNC:19309	KANK1	Q14678
HGNC:29300	KANK2	Q63ZY3
HGNC:24796	KANK3	Q6NY19
HGNC:27263	KANK4	Q5T7N3
HGNC:24565	KANSL1	Q7Z3B3
HGNC:43740	KANSL1-AS1	
HGNC:26310	KANSL1L	A0AUZ9
HGNC:26024	KANSL2	Q9H9L4
HGNC:25473	KANSL3	Q9P2N6
HGNC:49510	KANTR	
HGNC:6215	KARS	Q15046
HGNC:39207	KARSP1	
HGNC:39208	KARSP2	
HGNC:39209	KARSP3	
HGNC:4201	KAT2A	Q92830
HGNC:8638	KAT2B	Q92831
HGNC:5275	KAT5	Q92993
HGNC:13013	KAT6A	Q92794
HGNC:17582	KAT6B	Q8WYB5
HGNC:17016	KAT7	O95251
HGNC:17933	KAT8	Q9H7Z6
HGNC:6216	KATNA1	O75449
HGNC:28361	KATNAL1	Q9BW62
HGNC:25387	KATNAL2	Q8IYT4
HGNC:6217	KATNB1	Q9BVA0
HGNC:26199	KATNBL1	Q9H079
HGNC:39724	KATNBL1P1	
HGNC:49052	KATNBL1P2	
HGNC:49053	KATNBL1P3	
HGNC:49054	KATNBL1P4	
HGNC:49055	KATNBL1P5	
HGNC:49056	KATNBL1P6	
HGNC:25460	KAZALD1	Q96I82
HGNC:29173	KAZN	Q674X7
HGNC:21751	KBTBD2	Q8IY47
HGNC:22934	KBTBD3	Q8NAB2
HGNC:23761	KBTBD4	Q9NVX7
HGNC:25340	KBTBD6	Q86V97
HGNC:25266	KBTBD7	Q8WVZ9
HGNC:30691	KBTBD8	Q8NFY9
HGNC:29104	KBTBD11	O94819
HGNC:49147	KBTBD11-OT1	
HGNC:25731	KBTBD12	Q3ZCT8
HGNC:37227	KBTBD13	C9JR72
HGNC:20589	KCMF1	Q9P0J7
HGNC:6218	KCNA1	Q09470
HGNC:6220	KCNA2	P16389
HGNC:6221	KCNA3	P22001
HGNC:6222	KCNA4	P22459
HGNC:6224	KCNA5	P22460
HGNC:6225	KCNA6	P17658
HGNC:6226	KCNA7	Q96RP8
HGNC:6219	KCNA10	Q16322
HGNC:6228	KCNAB1	Q14722
HGNC:40316	KCNAB1-AS1	
HGNC:40315	KCNAB1-AS2	
HGNC:6229	KCNAB2	Q13303
HGNC:6230	KCNAB3	O43448
HGNC:6231	KCNB1	Q14721
HGNC:6232	KCNB2	Q92953
HGNC:6233	KCNC1	P48547
HGNC:6234	KCNC2	Q96PR1
HGNC:6235	KCNC3	Q14003
HGNC:6236	KCNC4	Q03721
HGNC:39958	KCNC4-AS1	
HGNC:6237	KCND1	Q9NSA2
HGNC:6238	KCND2	Q9NZV8
HGNC:6239	KCND3	Q9UK17
HGNC:40317	KCND3-AS1	
HGNC:41350	KCND3-IT1	
HGNC:6240	KCNE1	P15382
HGNC:52280	KCNE1B	
HGNC:6242	KCNE2	Q9Y6J6
HGNC:6243	KCNE3	Q9Y6H6
HGNC:6244	KCNE4	Q8WWG9
HGNC:6241	KCNE5	Q9UJ90
HGNC:6246	KCNF1	Q9H3M0
HGNC:6248	KCNG1	Q9UIX4
HGNC:6249	KCNG2	Q9UJ96
HGNC:18306	KCNG3	Q8TAE7
HGNC:19697	KCNG4	Q8TDN1
HGNC:6250	KCNH1	O95259
HGNC:41351	KCNH1-IT1	
HGNC:6251	KCNH2	Q12809
HGNC:6252	KCNH3	Q9ULD8
HGNC:6253	KCNH4	Q9UQ05
HGNC:6254	KCNH5	Q8NCM2
HGNC:18862	KCNH6	Q9H252
HGNC:18863	KCNH7	Q9NS40
HGNC:18864	KCNH8	Q96L42
HGNC:15521	KCNIP1	Q9NZI2
HGNC:15522	KCNIP2	Q9NS61
HGNC:48680	KCNIP2-AS1	
HGNC:15523	KCNIP3	Q9Y2W7
HGNC:30083	KCNIP4	Q6PIL6
HGNC:29895	KCNIP4-IT1	
HGNC:6255	KCNJ1	P48048
HGNC:6263	KCNJ2	P63252
HGNC:43720	KCNJ2-AS1	
HGNC:6264	KCNJ3	P48549
HGNC:6265	KCNJ4	P48050
HGNC:6266	KCNJ5	P48544
HGNC:6267	KCNJ6	P48051
HGNC:41352	KCNJ6-AS1	
HGNC:6269	KCNJ8	Q15842
HGNC:6270	KCNJ9	Q92806
HGNC:6256	KCNJ10	P78508
HGNC:6257	KCNJ11	Q14654
HGNC:6258	KCNJ12	Q14500
HGNC:6259	KCNJ13	O60928
HGNC:6260	KCNJ14	Q9UNX9
HGNC:6261	KCNJ15	Q99712
HGNC:6262	KCNJ16	Q9NPI9
HGNC:39080	KCNJ18	B7U540
HGNC:6272	KCNK1	O00180
HGNC:6277	KCNK2	O95069
HGNC:6278	KCNK3	O14649
HGNC:6279	KCNK4	Q9NYG8
HGNC:6280	KCNK5	O95279
HGNC:6281	KCNK6	Q9Y257
HGNC:6282	KCNK7	Q9Y2U2
HGNC:6283	KCNK9	Q9NPC2
HGNC:6273	KCNK10	P57789
HGNC:6274	KCNK12	Q9HB15
HGNC:6275	KCNK13	Q9HB14
HGNC:13814	KCNK15	Q9H427
HGNC:49901	KCNK15-AS1	
HGNC:14464	KCNK16	Q96T55
HGNC:14465	KCNK17	Q96T54
HGNC:19439	KCNK18	Q7Z418
HGNC:6284	KCNMA1	Q12791
HGNC:51213	KCNMA1-AS1	
HGNC:51214	KCNMA1-AS2	
HGNC:51215	KCNMA1-AS3	
HGNC:6285	KCNMB1	Q16558
HGNC:6286	KCNMB2	Q9Y691
HGNC:51409	KCNMB2-AS1	
HGNC:6287	KCNMB3	Q9NPA1
HGNC:6288	KCNMB3P1	
HGNC:6289	KCNMB4	Q86W47
HGNC:6290	KCNN1	Q92952
HGNC:6291	KCNN2	Q9H2S1
HGNC:6292	KCNN3	Q9UGI6
HGNC:6293	KCNN4	O15554
HGNC:6294	KCNQ1	P51787
HGNC:42790	KCNQ1-AS1	
HGNC:13335	KCNQ1DN	Q9H478
HGNC:6295	KCNQ1OT1	
HGNC:6296	KCNQ2	O43526
HGNC:6297	KCNQ3	O43525
HGNC:6298	KCNQ4	P56696
HGNC:6299	KCNQ5	Q9NR82
HGNC:40323	KCNQ5-AS1	
HGNC:41354	KCNQ5-IT1	
HGNC:18893	KCNRG	Q8N5I3
HGNC:6300	KCNS1	Q96KK3
HGNC:6301	KCNS2	Q9ULS6
HGNC:6302	KCNS3	Q9BQ31
HGNC:18865	KCNT1	Q5JUK3
HGNC:18866	KCNT2	Q6UVM3
HGNC:18867	KCNU1	A8MYU2
HGNC:18861	KCNV1	Q6PIU1
HGNC:19698	KCNV2	Q8TDN2
HGNC:17585	KCP	Q6ZWJ8
HGNC:18249	KCTD1	Q719H9
HGNC:21294	KCTD2	Q14681
HGNC:21305	KCTD3	Q9Y597
HGNC:23227	KCTD4	Q8WVF5
HGNC:21423	KCTD5	Q9NXV2
HGNC:22235	KCTD6	Q8NC69
HGNC:21957	KCTD7	Q96MP8
HGNC:22394	KCTD8	Q6ZWB6
HGNC:22401	KCTD9	Q7L273
HGNC:21428	KCTD9P1	
HGNC:29274	KCTD9P2	
HGNC:49912	KCTD9P3	
HGNC:49913	KCTD9P4	
HGNC:49914	KCTD9P5	
HGNC:49915	KCTD9P6	
HGNC:23236	KCTD10	Q9H3F6
HGNC:49807	KCTD10P1	
HGNC:21302	KCTD11	Q693B1
HGNC:14678	KCTD12	Q96CX2
HGNC:22234	KCTD13	Q8WZ19
HGNC:23295	KCTD14	Q9BQ13
HGNC:23297	KCTD15	Q96SI1
HGNC:29244	KCTD16	Q68DU8
HGNC:25705	KCTD17	Q8N5Z5
HGNC:26446	KCTD18	Q6PI47
HGNC:24753	KCTD19	Q17RG1
HGNC:21052	KCTD20	Q7Z5Y7
HGNC:27452	KCTD21	Q4G0X4
HGNC:48674	KCTD21-AS1	
HGNC:19350	KDELC1	Q6UW63
HGNC:39193	KDELC1P1	
HGNC:28496	KDELC2	Q7Z4H8
HGNC:6304	KDELR1	P24390
HGNC:6305	KDELR2	P33947
HGNC:6306	KDELR3	O43731
HGNC:26624	KDF1	Q8NAX2
HGNC:29079	KDM1A	O60341
HGNC:21577	KDM1B	Q8NB78
HGNC:13606	KDM2A	Q9Y2K7
HGNC:13610	KDM2B	Q8NHM5
HGNC:20815	KDM3A	Q9Y4C1
HGNC:1337	KDM3B	Q7LBC6
HGNC:22978	KDM4A	O75164
HGNC:40528	KDM4A-AS1	
HGNC:29136	KDM4B	O94953
HGNC:17071	KDM4C	Q9H3R0
HGNC:25498	KDM4D	Q6B0I6
HGNC:37098	KDM4E	B2RXH2
HGNC:9886	KDM5A	P29375
HGNC:18039	KDM5B	Q9UGL1
HGNC:11114	KDM5C	P41229
HGNC:41384	KDM5C-IT1	
HGNC:11115	KDM5D	Q9BY66
HGNC:23976	KDM5DP1	
HGNC:12637	KDM6A	O15550
HGNC:29012	KDM6B	O15054
HGNC:22224	KDM7A	Q6ZMT4
HGNC:25840	KDM8	Q8N371
HGNC:6307	KDR	P35968
HGNC:4021	KDSR	Q06136
HGNC:23177	KEAP1	Q14145
HGNC:6308	KEL	P23276
HGNC:6309	KERA	O60938
HGNC:6311	KFM	
HGNC:21366	KHDC1	Q4VXA5
HGNC:37274	KHDC1L	Q5JSQ8
HGNC:43757	KHDC1P1	
HGNC:33699	KHDC3L	Q587J8
HGNC:18116	KHDRBS1	Q07666
HGNC:18114	KHDRBS2	Q5VWX1
HGNC:18117	KHDRBS3	O75525
HGNC:6315	KHK	P50053
HGNC:20166	KHNYN	O15037
HGNC:6316	KHSRP	Q92945
HGNC:39198	KHSRPP1	
HGNC:28950	KIAA0040	Q15053
HGNC:22191	KIAA0087	Q14695
HGNC:28960	KIAA0100	Q14667
HGNC:28961	KIAA0101	Q15004
HGNC:19955	KIAA0125	Q9NZY2
HGNC:31023	KIAA0125P1	
HGNC:31024	KIAA0125P2	
HGNC:28969	KIAA0141	Q14154
